HolderAddress,Balance
0x9e9ce71871ac9c4fa96df5b9a474e7a52e4040e6,9256159.06243301
0xae7a13f8af75aff1414675412383671ea21088da,2337170
0xa8d91cf61c94d020c7a583f7568b046869daae81,1783893.04663271
0x90f858cf7656e56de71032cbcf22016ab35d6e32,1488614.22357954
0xf1d8f799355ccbadd69886ace4e869ea4def7d1b,1292828.71924635
0x8eefc0e3bbfe9310241a8dd07a58f6b84a1dde2a,1281075.19282822
0xc61f4a3b771ccd725ccc3d68fe6670e9892a48dc,1150000.01733666
0x65b9fee09253156b0e058d3ac4a55be9615e9016,997244.367632122
0xa3737deca37c6d15c582309d766322bad789e6fa,816461
0x6968178a4eaf52c60ff06832697882ef2169d843,780037
0x1c71ad5c7388b83e6cd59ca6bfc49dbfef497503,713746
0x5328735bc3e02313992f951fb6bb173b63f4f744,659905.901433767
0x30199446dfa40f6ff14d10e4d3d31e2c5758fd4a,571211.763614356
0x5f07b4340337504dd9692b46a4eba2749e54582b,550736.552684681
0x4161adddc2697950edd181987b4fefa9f6c1d806,473310
0xb981045f185150fac7e961a9a31bab5bcee6123d,442176
0x312ac9c749fec2ccccbb952fd4a3d904442caa85,360000
0xc975d20248043f862a45bec3bc39fa19d504a84b,353152.012665225
0x0cfaef0e74a3cec96806d84b192129d7ccb71173,243069.596476006
0xf9e45ca353743e0a94939a545ee07db111b2dbb7,232056.717770035
0xfb02f66ee3de63f41870db4e3090cfb491a14acf,218567.813813564
0x74eab9a851279be57fc957c1a50d6ea8c5b195ce,158963.113313487
0x90eadfcbeb4e087921e46b058950086ee1076735,156617
0x9b2b937a008eb72483b7090c7333396dee21d3fe,119458
0x1ca3e4e2c34795ce359828261c9ba2720b858384,114017
0x7266a13627fbac1bc06c8aba8d3111cc1eb24d3c,108241.371348948
0x775eb6eae514e6ab7a37b4feb5eb0822b1b596a3,102250
0x377f92a00462b7ff48edc234f136e8bafb0a03bc,100000
0x3a57b8fdf5d1057b7c0fc4051c272adbbf4f155d,86234
0xcb4696c645b9ff41d138313ce2acfbe1369e073b,85529
0x6cfe8f7c79ca0755b2df18460075a4ccd1b51712,82432.7272216489
0x2bf28e737d77473f3ebaed01ffc0e483867f85b7,79504
0xcfd041791e59b3ee7e9b22cb57ce350b387a8dd9,79021
0xace24f43a7e89b5ca3244578c656f5c1344fece3,76802.0803111498
0x7180e344f5596171b1a0f0bffd42e389300a4822,76304
0xa63bc683fd199176efcf76c89046a635aafd8523,74650
0x97503741cd53b1e454c8939a60bbf14c3e9fa015,73853
0x48b30abdbed3d00f6ecebb2b4aefedeb6fb8c67b,73056.5360659559
0x769935f11b092723bda47ea04bc4325737182540,65449.0675403283
0x4e8d4331df01046505453f85a80c833e25068ab5,65412
0x7e848a1db06de9408bfc6965360d5c7ffbcc02e0,65113
0x77093bd686d94b45bae129baad60edec4ede3fae,64007
0xf157931a42b374a2dafd9b7ec31ac53a9c2276ef,61751.0010332999
0x1b7cde558961734ba9f2d259572a3d5cc2352ee3,57563
0x41e445099a16439b94adb14862cbe7aa8ed57d3d,56501
0x3bb3ac29b21675b7baf5159568704a6d68e05364,56205
0xc6d8d99e089feedeb87f842efc850028db470d68,56167
0xb6e4d92e4a7da2ad04f339d001ce40bd63649c5f,54770.9145401396
0xbff1411ff0b2a599e35506386caed7fe23da67e3,54413.0977896276
0x37468c42229ce7d38fdc2253cfd400893d68f604,54389
0x8bbc9dca596295d5210b99ddb4091a4afb8a4be1,53543
0xcbe1124faa1c8562a6da82481466a8a5a08c6bfb,52108
0xf3a1093b84100e1558a6afcde73ff9400730867f,51166
0xf1f6c0c47fdf90e4f71187738cfcb90f7f3f2fbe,50948.08734613
0xa486585fe53a61a7063adc8ca99d9e40fd1ecbeb,48138.2604706291
0xc2db20648cfe6e241a4297eef5acad1243d3c676,46877
0x01644e59842ddd508fc04271654420a6e83696b4,46194.9668246446
0xc9e36b627cf91295f8b19a93ff2db5ab927c1327,46036
0x6ed000311301f5dbeb7ac91e849dae705e811aee,45510
0x94a5885055dbcc3c7ee5723dcfdfccbac8c1ed29,45451.6766563366
0x7cea94081a565c188df839dc78ef585fd13e6eea,45000
0xb485ffa50977e4b36c07d4334bfdaaef544a5c9c,43122
0x51881d7604e5dfcce62194a1df1376c54a6e6fe6,41772
0xb3bdbe23cd082a06429c4489649aaaeccb3fc337,41275
0x77ab2046cf84ba8e7cefd6682d6183776d55d384,41084
0x125f854600b278fd3c65b30cdd1dc09136fe9649,40926
0xe57db30e31f060d5a4058e6f1f72bc331247d166,38758
0xb12fb4b1c7c37227edb6e6a1fe0e8fda82a2719d,36701.8912433731
0xc716e28fae8f3b9345dc6cfadb2a1a86978ef562,35677
0x94aaa6fec74a3600bb82bd3e1b4a71f379d67f44,35298
0x864bb8a4570141fd305bc9740953d0ccd35c2b57,34291
0x66e1e43bf5d11d547c2731875bc23ea34c47c2c2,34028
0x56c44e62f4a46e5bda5e742e3c3a406fbfd33caa,33457
0x9973ab490ecb60ac081eb541a0d2e27ec1bb8ce1,32328
0xb2729118f0f4ea97c093290cdc00484e9019285b,31231.0323884329
0x0d09ea1f48e5fd1ab0cce2e59b653600a4793e9a,31072
0x195a2c592d4093c785f7968049d72849e8c6cc03,30531
0x66594b5852a27e6b02e614563334e8a905410609,30310
0x44d8bf8f48d4ba09dadf082aea70660a2d489fa6,29620
0xca8cc6b6e76c6dd9edf9bde7c020df535c72a409,29006
0x84d2ec5414c21f01e92dfc43b0028252dfc67e2f,28831.116584397
0x6bf7e9e022c627a5a748ba1842e30e00eb300c03,27404
0xc1db845562bfccc721c0a28e15e5777fa195d6a1,27022
0xca3b4b16ff85eb68a0455b847045a72c26c1dd1e,26990
0x82db19a870e4285706ee4f69bb5e9a5b7ab503f6,26874.3888144254
0x8d7c822464e65d980309b79c356d9cc4d57ed14e,26349
0x75851b6deaacc84daeb853c0faa0b80caa380308,25920
0x39db4dd310be5060b50e604046e75ef7a92b36be,25874
0x297db0b570c08169689210766354e0a16fe8b8b7,24967
0xbdd7011de65b2fc2d38e0a5c9db2349202173669,24209
0xa2d643a1d969a2a7758453e720e5944594fad2e2,24085
0x62bab0c863d5b7f3852e8bf69de2581797eb59a3,23387
0xd4c2c4de609f5a983742250dcc8999d6c8d3ef27,23301
0x52f6aac92f2eea97b198d6afd715e53b1d9a285f,22710
0x1a908a8a7cd9d9a3b813f471a0a3ead73589b066,21442
0xcb6cebb1b3c40fff9756ae1ccee7aa914592fd58,21157
0xf250f4d8aa73e9d9358512b081d7e95e1c5326eb,20541.0900011167
0x0d14f782bda187567c51dd285b9f83bfde08647f,20163
0x499fda3c73c0c3a7701ad270b6bbb81023776393,20093
0xfac9f192ae99ac3dbdec7a20efa5b6f7c9dc8c90,20054
0xa4f623da6dca7496c12c2294c4041b087ec12ede,20014
0x6582d8313f597412b4dcb6020839f5bc24a79b58,19137
0x37e64f319b1614c11275bc14e8fce3ff024222b1,18952
0xa4b3ac0a5bb523a0b9bf22e618eaac9c199654cc,18653
0x983bd7bd9513bea2ea8c467d2c24767259035dba,18650
0xd3e2584fdedc201a734e2e64fe36138bffa8aa5f,18570
0x8cce32e0e33d17194f2b4722f00bfac4dc9903b2,18232
0x18fb3d01f35add22d4b05ad90a6f3d3dc68168e5,17965
0xd704eb8c87112afb8392e8217c81296c60d49b71,17847
0x94e1db55269c56fbed983d3c9777ad4c69d6908a,17529
0x51b32141c36940c7b6a03a7598a58511b29bc9eb,17176
0xc105fc6364e22d88aa5bd641c8b378ead61dd6c1,17036
0xd9a36a76e9bcb0998870b9e71530015d65fafbbf,15657
0x151f1c8b447ee78eeacedda368913b6601e415e1,15644
0x2cfb765378ba0cf802af2098da425c4f63b9b800,15275
0x15481d1d4f26c9dd2740a6b2c34b790b211bda36,15272
0xfc49481f5278db81166e0ac5269679b4b582974f,15000
0xdc6cf612b7c7ada5a0bdfea47a0e514fa6cffa5f,14517
0x2e6b2b305fb2d72a1eae631bbef6efac76a583cc,14067
0xe1e37dff67a82bd3911e9e231902371778205928,13924.1716205646
0x382ffce2287252f930e1c8dc9328dac5bf282ba1,13565.2560949555
0x38b23e6549a0ff035ad71827d3ff444261625d38,13329
0x22ec9d410f6e1d0762634f5947740e024f5df133,13188
0xd5ce4315542a05eeb347fe6bf346f9204665b246,13130
0xa0985457a08959f4e363c6b982fe8139d210a105,12695.3116382162
0xfa6929ac6e8a4916f8e6211288857f2eb112677e,12522.0341251241
0xf3cedd0a2a282ab3b11cb6a8c3e0638adbd82e14,12421
0xe61b31e676620d25c3cf3c7391da38df63148ba3,12238
0xc0bf2e97f6d965c674bee1aec171f3f11ab3f82f,12152
0xcc2b1063768fc2506088df0cd761be6e5a140b08,12054
0x16d050dc5c8c7e449483f390845c2959d33cfc78,12000
0xea281237cf255d7020316ec47d5cdcf6f04564ac,11928
0x23c3971e930d59e68318c1459041d08a3192228f,11816.9678551254
0x1ad2bed144588f333829a197feb7508777633d93,11532
0x3155dad9d24ac87d35d4b9ad781fafa40345be2f,11435.1254355401
0xdb74424379441ef1099850d6f6fd069f69e13c12,11070.9766825827
0xbd8e4e465761684fe63199fccfd79c77bc6ce3dc,10996
0x40bbdf41a618e1170ddda69abf2f4db90eafc0b1,10876.5321419932
0xd49b18f9a5a3556a1fab046d274b5b957561f438,10763
0x7f6639db7ea4cdb1031cd2c07749c53d2be11809,10316
0x72b6f2a9edc220c3ed5344f07911d1d1088fe766,10300
0x091aaf51226e852672c02b80b113f2f58c36c03a,10151
0x09780dc6bdf7e579ee566f7346c12fcd78589cf8,10128
0x8cad09b1959b67644ebd985895a2899839cd05d6,10083
0x6fd1ee598e308a9a6a070fcec1bf97e715d1e9bb,10063
0xc95445864955f7e16de1e3169a8099f227643eb4,10041
0x3982239d0dd0c088a0c59429fad39e32e768a567,10031
0x3ddf3ef8413b5f147ddafc86271d831c8d384035,10025.1223065539
0x77ae1f200bad7ec1421b0cf358b58255f24a4221,10016
0x666d69f2d609379524c6aaa53d22508280329e34,10000
0xe498a50d3507092084ba5d3d9b2baab37622c384,9970
0x746e9f5185f15f22f67a54152b8dd76b3c48e36c,9958
0x10a23e67830ad4e8d6f87113406f67e27baaa3ed,9570
0x728558931522abb2eb3acad830f82de9c27ecb34,9394
0xfd5f6a598e81407a1f89704b905af13a8d49a357,9379
0x2d82ee31c5bdf2e61024eb363271e84e5304d001,9368
0xa94dd05539e8744fc36bc131e7e8257fa3d48e58,9317.04529616725
0xe971b6f2cfd908eb162aa033bf57c1e32c0f67b4,9299.66661914189
0x8d55d19d3ae61bcecab898504a94b2abe390ce3d,9229
0x4ab66c2092c8684460bf008e13798d29345a173e,9218
0xd8c7e2a0343fe5581784207c67c3f83574b8f6e9,9131
0xb9697c9f1088f3aa8ce0c3294c385818dba2e885,9090
0x00957f9b85ba23287ad7a72fe4d08d1f9bfc6733,9071
0x9058351f72f03b7fbc1962a52d60b6acef100864,9060
0x9536f09c1c9c81d09557ead4ed4a5981f42a71e6,9039
0x82b5c1086cabc8de6e6bcb26d6640b6e8661587d,8997
0x098ce3f306e6a361ea33edbd5d20bbf1c62cce62,8958
0xfedd78f9538b3cde28c54f6c7ba8ad47628e994b,8877
0xa04e19a405134c5ff55c787ef5606db390da3d27,8744
0x698f2faa53e9dbd809769647474db3a40ea25bc1,8726
0x8bf64090d86fc982401241c2b5480c4794d566b0,8642
0xbb2432342b8f3924934c07a35a7ac0a26a447ae8,8609
0xdb811726d4b68185bea4d7e05da17bc84e3c6f0a,8539.86411149826
0x3c2e7801b121e3866f24ba38581914155d613642,8499
0x74f3304a9a8a81c4dfe0d746ee5684bc294d2997,8478
0x80948cc42c7125a87c5655e88b8e2c2685691d93,8464.58876028369
0x0781395d8f83856edf3e89102983fcaa1502aa9e,8457
0xc15ff05c0439d01910887d84f1d2fa05c09569fa,8436
0xb2e644584900c99db622518b96a135f9607621d6,8295
0x44ec3c12bfa18b371182df4b6524c3f4a621626b,8294
0x0e4cb73b7242503da39f74b8dcff5b9c5fbaf443,8284
0x81e8fa4b55d5c1351c22fdba97c83a405594d904,8238
0x219a57c085999c6f983873fd2febaf718a848563,8184
0xc25ce7c7845528889a2346ac8591ecfa9bbacb16,8113.41384251937
0xfcb72708db59887948091cdd4572a92e0c3812de,8051
0xf4789aa3fc838ba88a4b7bdc9497f886e3c95f5c,8020.76153965837
0x9908e276488441a2c80cc71ed6f380b712c7ca78,7837
0xd11456b2ce6ac9490cbbb465dd2f5fdccaba495a,7717
0xaadbc55afd76859a1440ef7138bffb78347233d6,7596
0xd4b41d227f888ca833fa5f4fc7dd155ad884544a,7487
0xe21108702d7a5311e97a4b5eedd135fc562eaf9a,7444
0x226e4f49a3e16ec433e9c880facfe386936f6ada,7371
0xc9f6349b8e04c1e0cfd28ce896eda7890576cb0e,7277
0x4b7ff18534b20a6562f3427acd3f1647bac0b710,7274
0x246a9a5bc01aa7b92785553247e3680dd31f1953,7165
0x46296331c30356505b5528a9f5ea6df06b22016c,7162
0xd9036ecc9d79f2c739d547c4be15365e8525e173,7137
0xf14d65daa56dd0ac48cfb418acbce30f7abdbeee,7103
0x73ccfcdea9058fc671e56b528b25b7296ac4d621,7054.31445673577
0x74684321ab3ef9866ab196cb1f0f773e57be34c0,6998
0x3336f28d6c73652d0ba36398dc380df13667169c,6987
0x2d1c4e614c167b812a43ffa748a4409319ee94c5,6911.3414948121
0x79b6d76fea2a80fde88ac799699971c49873ba23,6898
0x1ad20ea69a8e95930aa6274c64356b3a7c929672,6887
0x5f465baa06a59b8ed1903a76036172a47c008b45,6863
0xe71bd0083471cc419c795833cbcc18aa29d3b464,6835
0x513210a084369130346ac3c6ba7fb766f8b914c7,6829
0xfe467fd1a0fe5f7b881443a13d4be50f14caf828,6772
0x1f64d4c6accec68ffe0023e7bfb7198b5ae6531f,6739
0xbd62d9ce9ee9cdd8541af43284b5549fce0bf13f,6684
0xbfc7eac78516306bfe88a9a8f1577b6977ac1b29,6643.43232041713
0xaf102e3bde57e547ec6120e4eb6d1aed31dc92ed,6605
0x8ce3b87d4317fffc3b078c63294a090ec4e3478a,6571
0xe53c335e29a7c6bd1769dc8093f50c5d2631be83,6548
0x3811618c73cacd06f0af8fc543ed28626c797041,6522
0x75fdcf0c3b75ec6e8146a70f4d9f8f3ee891cba9,6521
0x4c90e8efef279a59c380b811003bb6cce96453e7,6515
0xeda246e8dcc9791c46eab77df9139563d3929b40,6463
0x1a0dbbf9c98ae01fb0445e25caba341f25add623,6395
0xf5afdd7d61b654c33695ae159c03cf81f3245179,6365
0x408a48365f8e9f93839bed763dca20cb3c2493ec,6257
0x67d2fae5eafab212b5e294053c4d635185940d77,6237
0xe021b67f4d16f31261fc303348f08ab13d438542,6187
0xd8ec046f6cbda148472774dc21eb6410d29870fe,6180
0xab488ff4c8f5c7daf31d70fe7e82e3bfbd5b8426,6149
0x29289a3c589aeff3cfa628c1c6a244119979fbef,6146
0xd41d98766ee134809b8acc62caddccdc799e21d6,6087
0x2cc71dca7896bab11b2cb38e4d13c087089c1e61,5945
0x7db1c1e8833974714442d190931297f809d9572a,5930
0x3322140fdbf423e28902dc640fa547b9088eb748,5892
0xfc43dfaf33d77f49018219181ec4deced3ba95a0,5862
0x10e681dd9497fa615df1cf326b2bcdab00e838ce,5840
0x0da071063b7987badf317f7f1b491def465f3423,5815
0x09eecef391f5c2ce2d72ceda9a8eb7a36e68c009,5670
0xdc2ea7bdc937993973fd23d61d37e7097e566cb4,5436
0x340c95e5361472127c523af990e702753af201a5,5413
0xe11a250e62586e1821b64a3fbea9eec904c115e4,5274
0x58f5adf4bb1591c68541b5db47bca49fb4d8c469,5224
0xaa28d9f650711de49cf55456cb074cdd68f51361,5200
0x6e2e565a31befa7d8c5a8fae538b584bd602de37,5077
0x9efe52e37e6b33239b3d5dab65f0f6b164eeed52,5010
0x81018ee3e35e26d05d24c8ae5d4869183afdca84,5000
0xb496146dd0d3f89616d67e735c321ba7c1ee0a22,4983
0x257e425598d36ad36e08742981c656f1c6e3f03d,4958.91422292797
0xac9d0c9adb8c488a150a619a02c3ff665a539da7,4936
0x2db38b47bd21762fc9e6669c59c0dcaf6eadcf90,4871
0x369d6c94a62d447d63ae0afb59ae43badf058118,4861.02446105925
0xdb9886416080060895c5c3679bfedb259a0e286a,4559
0x8a68ffd59c5cd90fd631057f9cf0eb8f355876d9,4445
0x5d64d14d2cf4fe5fe4e65b1c7e3d11e18d493091,4108.79082609326
0x3658d0f296e1f70fae8a4059b7a0bbcefd10b2a5,3982.49320375506
0x45832975f083f18dab8b0caf644cbb3a882c8658,3957
0x815a42b6b0c649a10595ad467a88596c8cc63d86,3943.64909940426
0x545213aa603f69d37255247d498d4a3b5d2fe697,3854
0x0811bb79e54543917fc1de1dbcb8e1a72ffa7a87,3811.59581136067
0x04bcfef3e622449ce02397a9fc352a1a3cfc280c,3798
0x7b44675727b68fb9a8d707d35717bde803393684,3784
0x328787ed2f8516529e6f6499821175955962a7b6,3687
0xc5f8b0396548f105c0d7aa194807f4f8cf1bfc99,3685
0x5ae0a177d4cbf8d5347ac6da34d5a938b97009c0,3684
0x2a9da2e4f02ea0a7fe40ccfad86227366308bedb,3651
0xbf9ebefa42db1b05d52c5182471f9a2fa218b863,3641
0xa70463e17ce5bb02b63189b3a841202be7fa4170,3613
0xb9df0d65ddc35268a697c5e7470e08bcd1b5797d,3566
0x8385373065b31f803b45500e0e14a9e13c4bd009,3561
0x510f714b8aa78d7bd33149824b4dcc8fd019d86a,3500
0x00e0319a30ca66aca072c408aee3be4e09c3c7af,3495.52143821304
0x57a8a241e1dad30d3417732dde7d36030e1eaf0d,3457
0x0d57415db957dc681408cfd49da7266e86528599,3453
0xa51cc2e77a55ec6e5f13c28081ee246fadac4386,3453
0x62264e2e4224bbc32f8c28cab9af2091773ca5f9,3448
0x565577cfa358bff51df56ea2b6249fd4d0568fbc,3443
0xb0e92195f16b5829d04e264ce48877e320e2e6d0,3422
0xc88b642f4efd4c34af161d8c84003ad0876726c7,3419
0xf979cb2aa489ad5b8b790831e7619d4861ad006f,3418
0x3af4f79d38ec3b9193d9f864613ce916444e6b11,3353
0xc4049738263f365b313a04cf324cf7fc7b443829,3305.49529638993
0xfc723320fff768e74370fda901fd3b873c80ed7d,3117
0xad94b44c438f4e684792ec4eb5cee49e1d765f76,2980.05789626479
0x22ff5e4b7857f18b5da0c1813c90c03ccf0e9858,2951.79333819826
0x3282d83317afcf44821e2bb8cd8da4b61df47dd2,2756
0x281528e326bd90d5e42b1751111d26f3d709d391,2548
0x48e7fb58a969a99383725c1a8c1c85a947dbc2fb,2487
0x6f543ed82af94dcc295e06cbc6a14e07b54255d6,2383
0xf61c3241491145aabcc3889767537154ec516642,2275
0x2fc69a9bb63af6d411f3ddaa588a1e1283b3d21e,2259
0x3cbafb4d89650e521fd440b12d0871af4935dc1f,2258.9
0x663da44eaf27b51fa054545601329e66413e64e9,2057
0x016920cc3fe11534626e2a380027077e08c772fe,2048.82234998058
0x571bf59c1454dbd40dadd427ec9b01705f3a6d01,1980
0x9f56c5b24419c2e0e6cf812afc3ba2defc9adbae,1936
0x1436615ba906a449ac01d8d68ebef47b2aed798f,1878
0xe9709e420fb7dc3ac75a67eb0c8dc7d177257948,1867
0x109f47982f4a21037108820875c91bd95c6b004d,1849.15790677272
0xd029cc8ac55da0ad4ff8d85135f747b096e8a5fd,1782.25721106325
0x81f83e88873a8adbdacaa8f2fc4c5816e7034326,1746
0x92a98d9ef94fffc39a570ab831b21624876bef34,1746
0x83ecb9501ea535c286053a6e54c3e56621c3406e,1744
0x7786126e5e953ddab491bcef27482eb3365a0708,1742
0x8ff0ac73608c36aead78e2997df06c9c5508f56f,1735
0xa19a466fddbe5d5524328dc895811e1409e29954,1700
0xa220f8d122e45e3c255a0591a77ba5ef022a0052,1680
0xe1cd2295bce9dbe46f42e202d834503e707cf536,1675
0x5a01bdaa010938eb7615c63cb22cf3e94e8505df,1542
0x54636e63c5a0fd516761a2cb1e5b80a0ea353b5f,1423.70920145062
0x5e4f88de9e8a5b68315222ee9f46daece6f23072,1405
0xc14df10d6f77d8ac4dfc992e04d74625b1326a6f,1381
0x61e74150f7e7582dbddb6784c56737dfeb098b6b,1340
0x4ee2f6e270524fc91d4cf56be30d2862b10a701c,1315
0x02faecaee8015286efc9282d2c3e68543c32910f,1308.65706550575
0x6fce8832d213e99fb48de86e9db8f73195c5827d,1289
0xc7b4c22c0911af438324c8445a909897dc638207,1287
0x0b96c53cc980a91b489a9c6b4417ed6bc10244ea,1268.86365169608
0x95cfd1bdb0cf27d739ebd76b92b5637b32c4431f,1243
0xc6a4fce15bd4c14f8d6ecf3ad4e20e39021897e8,1230
0x4c55763079156c50ad5da261fb32b61524f65c06,1213
0xf4c2c9258cc3760d3488b21833d6c9dce86efb85,1211.3955151878
0x0f1465d3b58f00fc17456236b0f5a79d68cc6bc3,1210
0x55aeeb8dbce82e79186d375926cbe93dd11116f7,1204
0x2cb4cf3ef0c8f1b817baf86b3beb2ac83cef76a1,1194
0xedb44126b2c58890273977e6efdc2c731f480452,1086.93456164554
0xa449acdc23d418c0d8b8801fdd3546d1fd0bbdb8,1075
0x302cbcb385bc263d7ce6805235dca7429d05c9b5,1071
0xe4bdcf89b50540c3f444b241bd9d47bfb8ecabc1,1055
0x3304e22ddaa22bcdc5fca2269b418046ae7b566a,1020
0x89cf5cbddae85c8423715a4bfa18d6b3c2281908,1017
0x0205207b67c5571060febbae02e80bd1aef3f1bb,1006
0x0e563d84e8c0beae7301e2459fcb55241f3ebfc2,961.957847925435
0x73c8de9c8cbd521966544a52a3084a1cfd9559be,924
0xef3ebc828a725e3f3b27630afb256452424bf3d1,919
0xe50e0859d4d5400946d02aa5d9c19af1064f893a,910
0x0044eb2467c6835672df664c6a32c49dbdf08e7e,879
0xd40acef7ae9ef7c3d3e0c4d77a65d407ad085311,871
0xf285603734ab182f1b2fc1a978482eacaecee82f,833.067568404228
0xa3898f19a5fca401e7eacc66d1180f00aed6d2af,806
0x698f7be401c4f7c3f0ee571a558be3b63b1a480b,806
0x4a3615ca3cca3baee2d9320378fc2104532fbb96,800
0xca226bd9c754f1283123d32b2a7cf62a722f8ada,787.889491935766
0x1691952bc915c5a9022dd9275edde223b7628b52,708
0x029fdbb811720d786cd8aa8ad8ff80c03a03dbf9,700.137809212661
0x0a81a3ad1fc7e0da89284635604f87fcfd5e8ce2,694.164229608193
0xc2cb70de5e7bd0bba06e72b4098414cb8d09ea7e,636
0x520d6fcabb4d7ea9f5d30526f1e0461ae9fa6829,626
0x63f8ea52e6a65097ea528a0b2250f3a143f8eef0,582
0x9644e675245249347701bf36ee55cdbad99b8c0c,579
0x6e37c8f603582ce03de8e9cc5da9de25bbd82b17,508
0x655e5b3baf2e8042bec4898043d52eb54514f19a,500
0x472a77ad6e72e29077b508b4704d48e054003ee9,478.843205574913
0x78d8a429990d4c25db3a9d42edb1f58582e625eb,478
0xb2f9495285b5d9003421a9f799ac66e5b88162e3,476
0xa410a1b7af47b257aa977f582ce12255eea95126,474.469605697826
0x3b2eea926b9495681e9862a4db23ef088b5ef3cc,474
0x1b6fd3bc978e2c4948b536c08672604fe10c1c22,464
0xad01c20d5886137e056775af56915de824c8fce5,463.524535070708
0x5190efc20e1ac0d4b5ece5f6e8d5529925557c90,435
0xfd7bf41ae39b79cc525c5bf1257ce6e91610196f,434
0xa733dc9e1c65548e15a4461b2fbb48adc1cf09c0,407
0x7afa9d836d2fccf172b66622625e56404e465dbd,391.811685576939
0x1945bf22bd705d7bc50777cfb85a78908ddc76e6,387
0x98fa6f147dfae815921ac3551496da89bfae5251,331
0xd943a06dc92b5d2645e17b89bac635fbef9667ad,331
0x5b2d24c4cbae1c1c8339c94b6a4f6283d7fe9d88,321
0x0af68ba412f638ddfff23c3bbb4f8a0dcdf61067,307
0xe4ef7902364b2c7e4055042bc300a920b3918a2a,301
0x878751bed05549d76de66480edaeb563acbff361,298.654423980314
0x02d071a85783184d093c12920614ffefd55c50a6,293
0xc68fda89ed51b43cf2a9a07fc6a5aa072e42a63b,291.892373518986
0xbc9a0ce8bd943784bfa19194fba542f0e621696d,289
0x4efc6deb3a07df1d6968df2613f3966b24b80523,277.871846613085
